Label,SMILES
0,OC(=O)c1ccc(cc1)C(=O)O
1,ClP(=O)(Cl)Cl
1,ClP(Cl)(Cl)(Cl)Cl
1,CCN(CC)CCN
1,CCN(CC)CCO
0,C=CC1CCC=CC1
0,CCc1ccccc1
1,NNc1ccccc1
1,C=Cc1ccccn1
0,CC(C)OC(=O)Nc1cccc(Cl)c1
0,CC(C)Nc1ccc(Nc2ccccc2)cc1
1,C1CCC(CC1)NC2CCCCC2
0,CCCCCCC(=Cc1ccccc1)C=O
0,O=C(Oc1ccccc1)Oc2ccccc2
0,NC(=O)C(Br)(Br)C#N
0,Clc1ccc(cc1Cl)N=C=O
1,CCCN(CCC)CCC
0,C=CCN(CC=C)CC=C
0,C1CN(CCO1)Sc2nc3ccccc3s2
1,CCCCN(CCO)CCCC
1,CCCCN(CCCC)CCCC
0,CCCCC(CC)COC(=O)C=C
0,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
0,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC
0,BrC=Cc1ccccc1
0,C1CCC(CC1)c2ccccc2c3ccccc3
1,CCN(CC)CCCN
1,CCc1ccc(C)nc1
0,CCOC(=O)CC
0,CCC(=O)OC=C
0,COC(=O)CC(=O)C
0,CCC(C)OC(=O)C
0,CCOC(=O)CC(=O)OCC
0,CCOC(C)OCC
1,O=C1CCCCCN1
0,CCCCOC(=O)CCCCC(=O)OCCCC
0,CCCCC(=O)CC
0,Cc1ccc(Cl)cc1
1,Oc1ccc(Cl)cc1
0,Nc1ccc(N)cc1
1,CCOCCOC(=O)C=C
0,ClC(=O)OCCOCCOC(=O)Cl
1,CCC1CO1
1,CC(=C)C(=O)OCC1CO1
1,ClCC#N
1,NCCN
0,CC(O)CC(C)(C)O
1,CCOP(=O)(OCC)OP(=O)(OCC)OCC
0,CC(C)CC(=O)C
0,CC(C)CC(C)O
0,CC(C)OC(C)C
0,CC(C)OC(=O)C
0,CC(=O)OC(=O)C
0,Clc1nc(Cl)nc(Cl)n1
0,CC(C)CC(C)OC(=O)C
0,CC1CCCCC1
0,Cc1ccccc1
1,Cc1ccncc1
1,NC1CCCCC1
1,O=C1CCCCC1
1,Cc1cccnc1
1,Cc1ccccn1
1,CCCCC(=O)O
0,CC(C)COC=C
1,CN(C)CCCN
1,CC(C)OCCO
0,CCCOC(=O)C
0,CCCCC
1,CCCCN
1,CCCC#N
0,COCOC
1,CCNCC
0,CCOC=C
0,CCOC=O
0,C1CCSC1
0,CC(C)CCC(=O)C
0,CCCCCC(=O)C
0,COCCOC(=O)C
0,COCCOC
0,C1CCCCC1
1,CC(C)CNCC(C)C
0,CC(O)CNCC(C)O
0,CCCCCCC(=O)O
0,CCOCCOC(=O)C
1,O=CCCCC=O
1,N#CCCCCC#N
1,CCCCCCCCN
1,CCCCCCCCS
0,CCCCCCCCC(=O)O
1,O=S1(=O)CCCO1
0,CCCCCCCCCCCCN(C)C
1,ClCCOCCOCCCl
0,CCCCCCCCCC=O
0,COCCOCCOCCO
1,NCCNCCNCCNCCN
1,CCCCCCOCCOCCO
0,CNC(=O)Oc1ccccc1OC(C)C
0,CC(C)(O)C=C
0,CC(=CCCC(C)(OC(=O)C)C=C)C
0,ClCCOP(=O)(OCCCl)OCCCl
0,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br
0,Oc1c(Br)cc(Br)cc1Br
0,CCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCCC
0,COC(=O)c1ccccc1O
0,C1CCc2ccccc2C1
1,Nc1c(c(nn1c2c(Cl)cc(cc2Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F
0,c1ccc2cc3ccccc3cc2c1
0,Oc1ccc(Cl)cc1Cc2ccccc2
0,O=Cc1ccc2OCOc2c1
0,COC(=O)c1ccc(cc1)C(=O)OC
0,Clc1ccc(Cl)c(Cl)c1
0,C(Nc1[nH]cnc2ncnc12)c3ccccc3
1,CCN(CC)CC
1,CN(C)c1ccccc1
0,[O-][N+](=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
0,CC(O)CN(CC(C)O)CC(C)O
0,CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C
0,N(c1ccccc1)c2ccccc2
0,CCCCCC(=Cc1ccccc1)C=O
0,CCOCn1c(c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F
0,CCOC(OCC)OCC
1,C(Oc1ccccc1)C2CO2
0,OC(=O)COc1ccc(Cl)cc1
0,OCCOc1ccccc1
0,CCc1ccc(O)cc1
0,CCCC(=O)CCC
1,CN=CO
0,CC(C)CCO
1,CC(=O)CC(=O)C
0,CCC(=O)OC(=O)CC
0,CCCC=O
0,OC(=O)CCCCC(=O)O
0,CCCCCCCC=C
0,CCCCCCCC=O
0,CCCCCCCCC=O
0,CCCCCCCCCCCCCCCCCCN(C)C
1,CS(=O)(=O)Cl
0,O=S1(=O)CCCC1
1,CC(O)CCl
0,CC1(C)C2CCC(=C)C1C2
0,Cc1nc(c(s1)C(=O)Nc2c(Br)cc(OC(F)(F)F)cc2Br)C(F)(F)F
0,COC(=O)c1ccccc1C(=O)OC
